brand,image,name,new_price,old_price,rating
Infinix,"https://bd.daraz.io/1wDdihhJbPTF0W7wyjUghE68Op4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/53/9007/1.jpg?3880","Hot 6 Pro X608 - Smartphone - 6"" - 3GB RAM - 32GB ROM - 13MP +2MP Camera - Black","12,490.00","13,990.00",1
Symphony,"https://bd.daraz.io/XXgsuScX-QKw31Mzu1qLlYi9gJ8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/91/1675/1.jpg?3888","Z9 - Smartphone - 5.5"" - 3GB RAM - 32GB ROM - 13MP Camera - Black","9,990.00","13,990.00",13
Helio,"https://bd.daraz.io/kFqc0Sv55valrtW5jqP5VLjymGk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/05/1405/1.jpg?3875","S10 - Smartphone - 5.5"" - 4GB RAM - 32GB ROM - 16MP Camera - Black","12,990.00","18,990.00",31
Samsung,"https://bd.daraz.io/3yLCl1DxX-VmpO2taDcgKDYoOyo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/61/4352/1.jpg?4760",Galaxy On7 Pro Smartphone 5.5 - 2GB RAM  16GB ROM  Black,"11,490.00","14,990.00",11
Samsung,"https://bd.daraz.io/jKWYJKAlc9tVJHlK_LSwwkwAmPs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/42/4352/1.jpg?4756",Galaxy J7 Prime Smartphone 5.5 - 3GB RAM  32GB ROM  Gold,"16,990.00","21,900.00",28
Huawei,"https://bd.daraz.io/VbDstDwJ2WX9Yg6tIxNKGzzCCrY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/20/7746/1.jpg?4833",Nova2i Smartphone - 5.9 Inch - 4GB RAM - 64GB ROM - 13MP Camera - Black,"24,990.00","26,990.00",0
OnePlus,"https://bd.daraz.io/i6HtPMS_8GfRGX3njqy4tk5bvyw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/78/2354/1.jpg?3885","5T - Smartphone - 6.01"" - 8GB RAM - 128GB ROM - 20MP Camera - Midnight Black","48,990.00","59,990.00",8
Samsung,"https://bd.daraz.io/OUK1G1Zbpx6pQHDBSU1R1W-KYbA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/12/4352/1.jpg?4751",Galaxy J7 2016 Smartphone 5.5 - 2GB RAM  16GB ROM  Gold,"14,490.00","18,900.00",5
Samsung,"https://bd.daraz.io/40Mj35SBZcIm4JpqV5LmksFMxtU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/57/536/1.jpg?4758","Galaxy J2 (2016) Smartphone 5"" - 1.5GB RAM - 8GB ROM - Silver","10,490.00","12,999.00",2
Samsung,"https://bd.daraz.io/5lvFEXPEPYhbKQFtEfk9zJtCbEU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/02/4352/1.jpg?4751",Galaxy J7 2016 Smartphone 5.5 - 2GB RAM  16GB ROM  Black,"14,490.00","18,900.00",1
Samsung,"https://bd.daraz.io/YYfstVvEg1jJdCUylnQCMZFIv50=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/22/4352/1.jpg?4753",Galaxy J7 2016 Smartphone 5.5 - 2GB RAM  16GB ROM  White,"14,490.00","18,900.00",2
Samsung,"https://bd.daraz.io/sCE5sDmJCbevfszCzuTvly5Sfcg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/63/7805/1.jpg?9847","Smartphone - J2 - 2016 - 5"" - 1.5GB RAM - 8GB ROM - 8MP Camera - Black","11,990.00","12,990.00",3
Huawei,"https://bd.daraz.io/6dy5ygh7_NegH6AXFh-BAw9GlWM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/13/8515/1.jpg?8783","Y7 Prime - Smartphone 5.5"" - 3 GB RAM- 32 GB ROM - Gold","17,990.00","19,900.00",3
Infinix,"https://bd.daraz.io/IRQioEOIK58WxP14tDvmcIc29X4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/63/0115/1.jpg?5950","X572 - Note 4 High Edition - 5.7"" - 3GB RAM - 32GB ROM - 13MP - 4G - Ice Blue","12,990.00","14,990.00",12
Huawei,"https://bd.daraz.io/4KSg0rN0tF-PqnYyp-bssMb6wzA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/43/8515/1.jpg?8796",GR3 2017 Dual SIM Smartphone 16GB  Blue,"17,900.00","19,900.00",0
